Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Broadjump,https://www.crunchbase.com/organization/broadjump,"Internet Services, Software","Austin, Texas, United States",BroadJump's software solutions enable broadband service providers to accelerate deployment of residential high-speed Internet access.,"187,724","Internet, Internet of Things, Software",,2,3,M&A,"Jul 31, 2001","$22,000,000",Series C,"$22,000,000",Series C,"$42,000,000","$42,000,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,1,6,,,,,http://www.broadjump.com/,,,
Teloquent Communications,https://www.crunchbase.com/organization/teloquent-communications,"Administrative Services, Hardware","Billerica, Massachusetts, United States","Teloquent Communications, a provider of virtual call center solutions for Web and conventional telephone-based customer interaction.","198,354","Call Center, Customer Service, Telecommunications",,,1,M&A,"Jun 8, 2000","$12,600,000",Venture - Series Unknown,"$12,600,000",Venture - Series Unknown,"$12,600,000","$12,600,000",Private,,,,,Was Acquired,Active,Jun-89,,For Profit,,,1,7,,,,,http://www.teloquent.com,,,
Vertical Networks,https://www.crunchbase.com/organization/vertical-networks,"Financial Services, Hardware, Software","Sunnyvale, California, United States",Vertical Networks is a provider of distributed IP-PBX software and communications solutions to large enterprises.,"198,643","Communications Infrastructure, Financial Services, Software",,,3,M&A,"Jun 23, 2001","$15,000,000",Series F,"$15,000,000",Series F,"$94,000,000","$94,000,000",Private,,,,,Was Acquired,Active,1996,,For Profit,,,1,14,,,,,,,,
P-Cube,https://www.crunchbase.com/organization/p-cube,"Information Technology, Internet Services, Mobile","Sunnyvale, California, United States",P-Cube develops programmable IP service control platforms for broadband and mobile network operators.,"199,189","Information Services, Internet, Mobile",,2,3,M&A,"Mar 20, 2002","$35,000,000",Series C,"$35,000,000",Series C,"$65,000,000","$65,000,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,1,8,,,,,,,,
Sameday,https://www.crunchbase.com/organization/sameday,"Administrative Services, Information Technology, Software, Transportation","Birmingham, Alabama, United States",Sameday.com is an e-commerce distribution system that provides the convenience and service of traditional retail stores.,"216,159","Delivery, Developer Platform, Information Technology, Logistics, Software, Supply Chain Management",,,1,M&A,"Jan 16, 2001","$20,000,000",Series B,"$20,000,000",Series B,"$20,000,000","$20,000,000",Private,,,,,Was Acquired,Active,1997,,For Profit,,,,4,,,,,http://sameday.com,,,
Big Bear Networks,https://www.crunchbase.com/organization/bigbear-network,"Hardware, Software","Sunnyvale, California, United States",Big Bear Networks develops optical transponders and subassemblies for network operators.,"221,404","Developer Tools, Optical Communication, Service Industry",,,4,M&A,"Jun 15, 2005","$4,000,000",Series D,"$4,000,000",Series D,"$82,000,000","$82,000,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,2,6,,,,,,,,
terraspring,https://www.crunchbase.com/organization/terraspring,Software,"Fremont, California, United States",Terraspring is a software platform.,"223,324","Developer Platform, Developer Tools, Software",,1,1,M&A,"Jan 2, 2002","$28,000,000",Series D,"$28,000,000",Series D,"$28,000,000","$28,000,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,,4,,,,,,,,
US Pathology Labs,https://www.crunchbase.com/organization/us-pathology-labs,,,US Pathology Labs provider of anatomic pathology and oncology testing services with a focus on the outpatient market.,"224,607",,,,1,M&A,"Jan 1, 2002","$13,000,000",Series E,"$13,000,000",Series E,"$13,000,000","$13,000,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,,5,,,,,http://www.uslabs.com/,,,
Kagoor Networks,https://www.crunchbase.com/organization/kagoor-networks,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","San Mateo, California, United States",Kagoor Networks is engaged in the supply and innovation of session border control technology solutions.,"226,824","Communication Hardware, Telecommunications, VoIP",,,3,M&A,"Sep 13, 2004","$9,000,000",Series D,"$9,000,000",Series D,"$20,500,000","$20,500,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,5,5,,,,,http://www.kagoor.com/,,,
Topspin Communications,https://www.crunchbase.com/organization/topspin-communications,"Community and Lifestyle, Hardware, Professional Services, Sales and Marketing","Mountain View, California, United States","Topspin Communications provides server networking equipment. It provides server fabric switches, a class of server networking equipment,","249,715","Professional Networking, Public Relations, Telecommunications",,2,2,M&A,"Nov 10, 2003","$20,000,000",Series C,"$20,000,000",Series C,"$50,000,000","$50,000,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,2,5,,,,,,,,
Soapstone Networks,https://www.crunchbase.com/organization/soapstone-networks,"Hardware, Software","Burlington, Massachusetts, United States",Soapstone Networks is a provide high-speed data networking equipment.,"276,727","Communications Infrastructure, Network Hardware, Software, Telecommunications",,1,3,M&A,"Sep 13, 1999","$40,000,000",Series C,"$40,000,000",Series C,"$111,050,000","$111,050,000",Public,"Jul 28, 2000",,,,Was Acquired,Closed,1996,"Jul 28, 2009",For Profit,,,,14,,,,,,,,
netvmg,https://www.crunchbase.com/organization/netvmg,"Hardware, Internet Services, Software","Fremont, California, United States",netVmg is an intelligent route control software company that enables companies to control their internet performance levels.,"278,639","Enterprise Software, Hardware, Internet",,2,4,M&A,"Mar 4, 2003","$5,600,000",Series D,"$5,600,000",Series D,"$83,790,000","$83,790,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,2,5,,,,,,,,
Bright Tiger Technologies,https://www.crunchbase.com/organization/bright-tiger-technologies,"Information Technology, Software","Acton, Massachusetts, United States","Bright Tiger Technologies is a Softwarecompany based in Acton, MA.","305,668","Enterprise Software, Information Technology, Software",,,2,M&A,"Nov 10, 1997","$6,000,000",Series B,"$6,000,000",Series B,"$10,400,000","$10,400,000",Private,,,,,Was Acquired,Active,1996,,For Profit,,,,3,,,,,,,,
Lycium Networks,https://www.crunchbase.com/organization/lycium-networks,"Community and Lifestyle, Information Technology, Professional Services, Software","Menlo Park, California, United States",A developer of technology for packet networking devices,"348,565","Developer Tools, Information Technology, Professional Networking",,,2,M&A,"May 21, 2002","$8,000,000",Venture - Series Unknown,"$8,000,000",Venture - Series Unknown,"$10,000,000","$10,000,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,2,2,,,,,http://www.lyciumnetworks.com,,,
