Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Number of Investors,Number of Partner Investors,Equity Only Funding
Series A - Riverbed Technology,https://www.crunchbase.com/funding_round/riverbed-technology-series-a--5e66da19,Riverbed Technology,https://www.crunchbase.com/organization/riverbed-technology,Series A,"$6,600,000","Jan 10, 2003",Early Stage Venture,,2,,Yes
Series A - HealthcareMagic,https://www.crunchbase.com/funding_round/healthcaremagic-series-a--7ba23e73,HealthcareMagic,https://www.crunchbase.com/organization/healthcaremagic,Series A,"$2,500,000","Feb 12, 2009",Early Stage Venture,,1,,Yes
Series B - Nor1,https://www.crunchbase.com/funding_round/nor1-series-b--c0270b21,Nor1,https://www.crunchbase.com/organization/nor1,Series B,"$9,000,000","Dec 19, 2012",Early Stage Venture,,2,1,Yes
Series C - Trulia,https://www.crunchbase.com/funding_round/trulia-series-c--c068aaad,Trulia,https://www.crunchbase.com/organization/trulia,Series C,"$10,000,000","May 1, 2007",Late Stage Venture,,3,3,Yes
Seed Round - PandoDaily,https://www.crunchbase.com/funding_round/pandodaily-seed--54da5535,PandoDaily,https://www.crunchbase.com/organization/pandodaily,Seed,"$3,000,000","May 29, 2013",Seed,,19,,Yes
Series A - Stylistpick,https://www.crunchbase.com/funding_round/stylistpick-series-a--1af3b0e7,Stylistpick,https://www.crunchbase.com/organization/stylistpick,Series A,"$8,000,000","Apr 12, 2011",Early Stage Venture,,2,2,Yes
Series A - Tune,https://www.crunchbase.com/funding_round/tune-series-a--b91d5a3d,Tune,https://www.crunchbase.com/organization/tune,Series A,"$9,400,000","May 21, 2013",Early Stage Venture,,2,2,Yes
Series B - Segment,https://www.crunchbase.com/funding_round/segment-io-series-b--dd8ae6f4,Segment,https://www.crunchbase.com/organization/segment-io,Series B,"$27,000,000","Oct 9, 2015",Early Stage Venture,,5,2,Yes
Series C - Ceon,https://www.crunchbase.com/funding_round/ceon-series-c--0f85a5df,Ceon,https://www.crunchbase.com/organization/ceon,Series C,"$30,000,000","Jul 13, 2000",Late Stage Venture,,7,,Yes
Series A - Ubidyne,https://www.crunchbase.com/funding_round/ubidyne-series-a--9daaf0e6,Ubidyne,https://www.crunchbase.com/organization/ubidyne,Series A,"$15,500,000","Sep 1, 2005",Early Stage Venture,,2,,Yes
Series D - Cloudera,https://www.crunchbase.com/funding_round/cloudera-series-d--bcb5c712,Cloudera,https://www.crunchbase.com/organization/cloudera,Series D,"$40,000,000","Nov 7, 2011",Late Stage Venture,,5,7,Yes
