Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Grant - TransTech Systems,https://www.crunchbase.com/funding_round/transtech-systems-inc-grant--b7851754,TransTech Systems,https://www.crunchbase.com/organization/transtech-systems-inc,Grant,"$250,000","Aug 22, 2005",,,No,1,
Grant - KeySpan Business Solutions,https://www.crunchbase.com/funding_round/keyspan-business-solutions-grant--827d28b1,KeySpan Business Solutions,https://www.crunchbase.com/organization/keyspan-business-solutions,Grant,"$200,000","Aug 22, 2005",,,No,1,
Grant - XIOM  ,https://www.crunchbase.com/funding_round/xiom-corporation-grant--ca7bf8c4,XIOM  ,https://www.crunchbase.com/organization/xiom-corporation,Grant,"$232,053","Jul 8, 2005",,,No,1,
Grant - Utility Systems Tech. ,https://www.crunchbase.com/funding_round/utility-systems-tech-inc-grant--c09fe3d6,Utility Systems Tech. ,https://www.crunchbase.com/organization/utility-systems-tech-inc,Grant,"$218,600","Jun 15, 2005",,,No,1,
Grant - Heat Wise,https://www.crunchbase.com/funding_round/heat-wise-inc-grant--daab9354,Heat Wise,https://www.crunchbase.com/organization/heat-wise-inc,Grant,"$391,542","Jun 13, 2005",,,No,1,
Grant - Atlantis Energy Systems,https://www.crunchbase.com/funding_round/atlantis-energy-systems-grant--f3b43ebd,Atlantis Energy Systems,https://www.crunchbase.com/organization/atlantis-energy-systems,Grant,"$250,000","Jun 10, 2005",,,No,1,
Grant - Energy Now!,https://www.crunchbase.com/funding_round/energy-now-grant--e2b93df3,Energy Now!,https://www.crunchbase.com/organization/energy-now,Grant,"$422,947","Jun 1, 2005",,,No,1,
Grant - Power System Integrity Inc.,https://www.crunchbase.com/funding_round/power-system-integrity-inc-grant--c0e07bb2,Power System Integrity Inc.,https://www.crunchbase.com/organization/power-system-integrity-inc,Grant,"$197,000","May 10, 2005",,,No,1,
Grant - Crystal IS,https://www.crunchbase.com/funding_round/crystal-is-grant--077f328a,Crystal IS,https://www.crunchbase.com/organization/crystal-is,Grant,"$749,901","Apr 27, 2005",,,No,1,
Grant - Shurepower,https://www.crunchbase.com/funding_round/shurepower-grant--efef5580,Shurepower,https://www.crunchbase.com/organization/shurepower,Grant,"$483,898","Apr 24, 2005",,,No,1,
Grant - Renovus Energy,https://www.crunchbase.com/funding_round/renovus-energy-grant--cc476c28,Renovus Energy,https://www.crunchbase.com/organization/renovus-energy,Grant,"$26,380","Apr 13, 2005",,,No,1,
Grant - Mohawk Innovative Technology,https://www.crunchbase.com/funding_round/mohawk-innovative-technology-inc-grant--506bb670,Mohawk Innovative Technology,https://www.crunchbase.com/organization/mohawk-innovative-technology-inc,Grant,"$321,128","Mar 31, 2005",,,No,1,
Grant - Auterra,https://www.crunchbase.com/funding_round/auterra-grant--f731c915,Auterra,https://www.crunchbase.com/organization/auterra,Grant,"$127,203","Mar 30, 2005",,,No,1,
Grant - CJS Technology,https://www.crunchbase.com/funding_round/cjs-technology-grant--f9d8633a,CJS Technology,https://www.crunchbase.com/organization/cjs-technology,Grant,"$199,500","Mar 30, 2005",,,No,1,
Grant - United Environment and Energy,https://www.crunchbase.com/funding_round/united-environment-and-energy-grant--4af7fd12,United Environment and Energy,https://www.crunchbase.com/organization/united-environment-and-energy,Grant,"$99,777","Mar 22, 2005",,,No,1,
Grant - LED Specialists,https://www.crunchbase.com/funding_round/led-specialists-grant--8fdb5d80,LED Specialists,https://www.crunchbase.com/organization/led-specialists,Grant,"$186,819","Mar 18, 2005",,,No,1,
Grant - Heat Wise,https://www.crunchbase.com/funding_round/heat-wise-inc-grant--7f51ad70,Heat Wise,https://www.crunchbase.com/organization/heat-wise-inc,Grant,"$198,808","Mar 18, 2005",,,No,1,
Grant - Precision Magnetic Bearing Systems ,https://www.crunchbase.com/funding_round/precision-magnetic-bearing-systems-inc-grant--ee8b569d,Precision Magnetic Bearing Systems ,https://www.crunchbase.com/organization/precision-magnetic-bearing-systems-inc,Grant,"$99,979","Mar 16, 2005",,,No,1,
Grant - Odyne Hybrid Systems,https://www.crunchbase.com/funding_round/odyne-hybrid-systems-llc-grant--6966a9fe,Odyne Hybrid Systems,https://www.crunchbase.com/organization/odyne-hybrid-systems-llc,Grant,"$299,545","Mar 14, 2005",,,No,1,
Grant - Starfire Systems,https://www.crunchbase.com/funding_round/starfire-systems-grant--f9ec414f,Starfire Systems,https://www.crunchbase.com/organization/starfire-systems,Grant,"$142,845","Mar 14, 2005",,,No,1,
Grant - Beacon Power,https://www.crunchbase.com/funding_round/beacon-power-grant--0776f6a2,Beacon Power,https://www.crunchbase.com/organization/beacon-power,Grant,"$645,878","Feb 7, 2005",,,No,1,
Grant - Connected Energy,https://www.crunchbase.com/funding_round/connected-energy-grant--d3a14c8f,Connected Energy,https://www.crunchbase.com/organization/connected-energy,Grant,"$15,000","Jan 28, 2005",,,No,1,
Grant - DayStar Technologies,https://www.crunchbase.com/funding_round/daystar-technologies-grant--c4c59c10,DayStar Technologies,https://www.crunchbase.com/organization/daystar-technologies,Grant,"$600,000","Jan 28, 2005",,,No,1,
Grant - Gaia Power Technologies,https://www.crunchbase.com/funding_round/gaia-power-technologies-grant--39140d55,Gaia Power Technologies,https://www.crunchbase.com/organization/gaia-power-technologies,Grant,"$166,478","Jan 13, 2005",,,No,1,
Grant - Verdant Power,https://www.crunchbase.com/funding_round/verdant-power-grant--aadac3a5,Verdant Power,https://www.crunchbase.com/organization/verdant-power,Grant,"$1,000,000","Jan 5, 2005",,,No,1,
Grant - E3 ,https://www.crunchbase.com/funding_round/e3-inc-grant--9ddb365f,E3 ,https://www.crunchbase.com/organization/e3-inc,Grant,"$67,272","Dec 2, 2004",,,No,1,
Grant - Connected Energy,https://www.crunchbase.com/funding_round/connected-energy-grant--8a592e0c,Connected Energy,https://www.crunchbase.com/organization/connected-energy,Grant,"$86,659","Nov 18, 2004",,,No,1,
Grant - ENrG,https://www.crunchbase.com/funding_round/enrg-incorporated-grant--8c0d2da5,ENrG,https://www.crunchbase.com/organization/enrg-incorporated,Grant,"$720,569","Nov 3, 2004",,,No,1,
"Grant - MARES International, Ltd",https://www.crunchbase.com/funding_round/mares-international-ltd-grant--a39e0b72,"MARES International, Ltd",https://www.crunchbase.com/organization/mares-international-ltd,Grant,"$342,364","Oct 25, 2004",,,No,1,
Grant - Shurepower,https://www.crunchbase.com/funding_round/shurepower-grant--e42d6b2c,Shurepower,https://www.crunchbase.com/organization/shurepower,Grant,"$42,331","Oct 18, 2004",,,No,1,
Grant - Inspecto Inc.,https://www.crunchbase.com/funding_round/inspecto-inc-grant--993c9ad1,Inspecto Inc.,https://www.crunchbase.com/organization/inspecto-inc,Grant,"$210,399","Oct 5, 2004",,,No,1,
Grant - WeldComputer  ,https://www.crunchbase.com/funding_round/weldcomputer-corporation-grant--d8c91fb6,WeldComputer  ,https://www.crunchbase.com/organization/weldcomputer-corporation,Grant,"$200,000","Sep 29, 2004",,,No,1,
Grant - Atlantis Energy Systems,https://www.crunchbase.com/funding_round/atlantis-energy-systems-grant--a2e5c3ca,Atlantis Energy Systems,https://www.crunchbase.com/organization/atlantis-energy-systems,Grant,"$13,601","Sep 21, 2004",,,No,1,
Grant - Heat Wise,https://www.crunchbase.com/funding_round/heat-wise-inc-grant--e35d4d57,Heat Wise,https://www.crunchbase.com/organization/heat-wise-inc,Grant,"$39,998","Sep 17, 2004",,,No,1,
Grant - International Electronic Machines,https://www.crunchbase.com/funding_round/iem-grant--b5e3a909,International Electronic Machines,https://www.crunchbase.com/organization/iem,Grant,"$245,000","Aug 17, 2004",,,No,1,
Grant - Renovus Energy,https://www.crunchbase.com/funding_round/renovus-energy-grant--7d112109,Renovus Energy,https://www.crunchbase.com/organization/renovus-energy,Grant,"$22,305","Aug 12, 2004",,,No,1,
Grant - MetroKing Motors,https://www.crunchbase.com/funding_round/metroking-motors-grant--2552279a,MetroKing Motors,https://www.crunchbase.com/organization/metroking-motors,Grant,"$824,970","Aug 10, 2004",,,No,1,
Grant - Smart Solar,https://www.crunchbase.com/funding_round/smart-solar-inc-grant--29ad7f74,Smart Solar,https://www.crunchbase.com/organization/smart-solar-inc,Grant,"$40,000","Aug 5, 2004",,,No,1,
Grant - Shurepower,https://www.crunchbase.com/funding_round/shurepower-grant--53ffd990,Shurepower,https://www.crunchbase.com/organization/shurepower,Grant,"$860,900","Aug 2, 2004",,,No,1,
Grant - Gas Technology Institute,https://www.crunchbase.com/funding_round/gas-technology-institute-grant--f817d950,Gas Technology Institute,https://www.crunchbase.com/organization/gas-technology-institute,Grant,"$192,455","Jul 23, 2004",,,No,1,
Grant - TerraSolar USA,https://www.crunchbase.com/funding_round/terrasolar-usa-inc-grant--05c5986c,TerraSolar USA,https://www.crunchbase.com/organization/terrasolar-usa-inc,Grant,"$117,960","Jul 12, 2004",,,No,1,
Grant - Selux  ,https://www.crunchbase.com/funding_round/selux-corporation-grant--2b914ccf,Selux  ,https://www.crunchbase.com/organization/selux-corporation,Grant,"$148,371","Jul 12, 2004",,,No,1,
Grant - Enernet  ,https://www.crunchbase.com/funding_round/enernet-corporation-grant--3e14ff39,Enernet  ,https://www.crunchbase.com/organization/enernet-corporation,Grant,"$195,423","Jul 6, 2004",,,No,1,
Grant - Plug Power,https://www.crunchbase.com/funding_round/plug-power-grant--30e783b8,Plug Power,https://www.crunchbase.com/organization/plug-power,Grant,"$499,996","Jul 6, 2004",,,No,1,
Grant - Evident Technologies,https://www.crunchbase.com/funding_round/evident-technologies-grant--6c77126c,Evident Technologies,https://www.crunchbase.com/organization/evident-technologies,Grant,"$199,025","Jun 18, 2004",,,No,1,
Grant - Sustainable Energy Developments,https://www.crunchbase.com/funding_round/sustainable-energy-developments-grant--9251225f,Sustainable Energy Developments,https://www.crunchbase.com/organization/sustainable-energy-developments,Grant,"$47,368","Jun 18, 2004",,,No,1,
Grant - RPC Photonics,https://www.crunchbase.com/funding_round/rpc-photonics-grant--16ac4449,RPC Photonics,https://www.crunchbase.com/organization/rpc-photonics,Grant,"$200,000","Jun 18, 2004",,,No,1,
Grant - Ceralink,https://www.crunchbase.com/funding_round/ceralink-grant--55f2a2d1,Ceralink,https://www.crunchbase.com/organization/ceralink,Grant,"$772,265","May 18, 2004",,,No,1,
Grant - Gas Technology Institute,https://www.crunchbase.com/funding_round/gas-technology-institute-grant--7e7843c8,Gas Technology Institute,https://www.crunchbase.com/organization/gas-technology-institute,Grant,"$82,707","May 1, 2004",,,No,1,
Grant - Hudson Valley Clean Energy Inc.,https://www.crunchbase.com/funding_round/hudson-valley-clean-energy-inc-grant--58dddc2e,Hudson Valley Clean Energy Inc.,https://www.crunchbase.com/organization/hudson-valley-clean-energy-inc,Grant,"$74,250","Apr 21, 2004",,,No,1,
Grant - Progressive Machine & Design,https://www.crunchbase.com/funding_round/progressive-machine-design-grant--e6c3e187,Progressive Machine & Design,https://www.crunchbase.com/organization/progressive-machine-design,Grant,"$74,916","Apr 6, 2004",,,No,1,
